financial_year,actual_revised_estimated,class,type,amount,percent_of_gdp
1997,Actual,Tax ,Corporate Income Tax,6809,0.045
1998,Actual,Tax ,Corporate Income Tax,6256,0.044
1999,Actual,Tax ,Corporate Income Tax,6565,0.044
2000,Actual,Tax ,Corporate Income Tax,8316,0.049
2001,Actual,Tax ,Corporate Income Tax,7821,0.049
2002,Actual,Tax ,Corporate Income Tax,6822,0.041
2003,Actual,Tax ,Corporate Income Tax,5921,0.034
2004,Actual,Tax ,Corporate Income Tax,6107,0.031
2005,Actual,Tax ,Corporate Income Tax,7340,0.034
2006,Actual,Tax ,Corporate Income Tax,8474,0.035
2007,Actual,Tax ,Corporate Income Tax,9250,0.033
2008,Actual,Tax ,Corporate Income Tax,10554,0.039
2009,Actual,Tax ,Corporate Income Tax,9551,0.033
2010,Actual,Tax ,Corporate Income Tax,10687,0.032
2011,Actual,Tax ,Corporate Income Tax,12096,0.034
2012,Actual,Tax ,Corporate Income Tax,12821,0.035
2013,Actual,Tax ,Corporate Income Tax,12680,0.033
2014,Actual,Tax ,Corporate Income Tax,13371,0.033
2015,Actual,Tax ,Corporate Income Tax,13815,0.033
2016,Actual,Tax ,Corporate Income Tax,13602,0.03
2017,Actual,Tax ,Corporate Income Tax,14944,0.032
2018,Revised,Tax ,Corporate Income Tax,16137,0.033
2019,Estimated,Tax ,Corporate Income Tax,16722,0.033
